room,timestamp,current_pm25,current_pm10,current_pm1,current_temp,current_humi,current_current,current_speed,current_volt,pm25_after_10m
room1,2025-10-20 00:09:00,0.0,0.0,0.0,23.26,38.34,1.37,3,5.0,1.0
room1,2025-10-20 00:09:00,0.0,0.0,0.0,23.26,38.39,1.0,3,5.0,1.0
room1,2025-10-20 00:10:00,0.0,0.0,0.0,23.26,38.3,0.78,3,5.0,1.0
room1,2025-10-20 00:10:00,0.0,0.0,0.0,23.26,37.95,1.15,3,5.0,1.0
room1,2025-10-20 00:10:00,0.0,0.0,0.0,23.26,38.08,1.15,3,5.0,1.0
room1,2025-10-20 00:10:00,0.0,0.0,0.0,23.29,38.13,1.15,3,5.0,1.0
room1,2025-10-20 00:10:00,0.0,0.0,0.0,23.28,38.17,0.85,3,5.0,1.0
room1,2025-10-20 00:10:00,0.0,0.0,0.0,23.28,38.2,1.07,3,5.0,1.0
room1,2025-10-20 00:10:00,0.0,0.0,0.0,23.22,38.29,0.63,3,5.0,1.0
room1,2025-10-20 00:10:00,0.0,0.0,0.0,23.26,38.35,1.3,3,5.0,1.0
room1,2025-10-20 00:10:00,0.0,0.0,0.0,23.24,38.28,1.0,3,5.0,1.0
room1,2025-10-20 00:10:00,0.0,0.0,0.0,23.25,38.14,0.93,3,5.0,1.0
room1,2025-10-20 00:10:00,0.0,0.0,0.0,23.26,38.06,1.59,3,5.0,1.0
room1,2025-10-20 00:10:00,0.0,0.0,0.0,23.22,38.16,1.0,3,5.0,1.0
room1,2025-10-20 00:10:00,0.0,0.0,0.0,23.28,37.84,1.07,3,5.0,1.0
room1,2025-10-20 00:10:00,0.0,0.0,0.0,23.29,37.88,0.78,3,5.0,1.0
room1,2025-10-20 00:10:00,0.0,0.0,0.0,23.26,38.25,1.22,3,5.0,1.0
room1,2025-10-20 00:10:00,0.0,0.0,0.0,23.28,37.81,1.22,3,5.0,1.0
room1,2025-10-20 00:10:00,0.0,0.0,0.0,23.28,37.57,1.15,3,5.0,1.0
room1,2025-10-20 00:10:00,0.0,0.0,0.0,23.29,37.62,1.3,3,5.0,1.0
room1,2025-10-20 00:10:00,0.0,0.0,0.0,23.31,37.7,1.07,3,5.0,1.0
room1,2025-10-20 00:10:00,0.0,0.0,0.0,23.29,37.66,0.78,3,5.0,1.0
room1,2025-10-20 00:10:00,0.0,0.0,0.0,23.28,37.6,0.93,3,5.0,1.0
room1,2025-10-20 00:10:00,0.0,0.0,0.0,23.26,37.6,0.78,3,5.0,1.0
room1,2025-10-20 00:10:00,0.0,0.0,0.0,23.28,37.63,1.15,3,5.0,1.0
room1,2025-10-20 00:10:00,0.0,0.0,0.0,23.29,37.67,0.93,3,5.0,1.0
room1,2025-10-20 00:10:00,0.0,0.0,0.0,23.29,37.57,0.93,3,5.0,1.0
room1,2025-10-20 00:10:00,0.0,0.0,0.0,23.29,37.6,1.3,3,5.0,1.0
room1,2025-10-20 00:10:00,0.0,0.0,0.0,23.29,37.6,0.93,3,5.0,1.0
room1,2025-10-20 00:10:00,0.0,0.0,0.0,23.29,37.69,1.0,3,5.0,1.0
room1,2025-10-20 00:10:00,0.0,0.0,0.0,23.28,37.71,0.78,3,5.0,1.0
room1,2025-10-20 00:10:00,0.0,0.0,0.0,23.32,37.59,0.85,3,5.0,1.0
room1,2025-10-20 00:11:00,0.0,0.0,0.0,23.32,37.73,1.07,3,5.0,1.0
room1,2025-10-20 00:11:00,0.0,0.0,0.0,23.31,37.85,0.85,3,5.0,1.0
room1,2025-10-20 00:11:00,0.0,0.0,0.0,23.29,37.67,1.0,3,5.0,1.0
room1,2025-10-20 00:11:00,0.0,0.0,0.0,23.29,37.7,0.78,3,5.0,1.0
room1,2025-10-20 00:11:00,0.0,0.0,0.0,23.28,37.75,1.44,3,5.0,1.0
room1,2025-10-20 00:11:00,0.0,0.0,0.0,23.29,37.76,0.93,3,5.0,1.0
room1,2025-10-20 00:11:00,0.0,0.0,0.0,23.31,37.82,1.0,3,5.0,1.0
